Structure of Structure [idcode],Structure,Molecular Formula,OSM ID,MMV ID,PubChem ID Links,PubChem ID,ChEMBL Molecule ID Links,ChEMBL Molecule ID,Internal ID,Series,InChI,InChI-Key,PfaI EC50 (Inh),Pfal IC50 (GSK),Pfal IC50 (Syngene),Pfal IC50 (Dundee),Pfal (3D7) IC50 (Broad),Pfal (Dd2) IC50 (Broad),PfaI EC50 uMol (Mean) Qualifier,PfaI EC50 uMol (Mean),Single Shot Inhibition %,PfATP4 'Test Set',Ion Regulation (ANU),Pb Liver Stage,Cytotox HepG2,Cytotox THP1,hERG pIC50,t1/2 HLM (Monash),t1/2 HLM (Inh),t1/2 MLM (Monash),t1/2 RLM (Inh),t1/2 RLM (Monash),t1/2 HCH (Monash),t1/2 RCH (Monash),CLint HLM (Monash),CLint HLM (Inh),CLint MLM (Monash),CLint RLM (Inh),CLint RLM (Monash),CLint HCH (Monash),CLint RCH (Monash),EH H M'some (Monash),EH M M'some (Monash),EH R M'some (Monash),EH H H'cyte (Monash),EH R H'cyte (Monash),LogD 3.0 (Monash),LogD 7.4 (Monash),Sol 2.0 ug/mL (Monash),Sol 6.5 ug/mL (Monash),Sol 6.8 uM (Inh),Sol 7.4 uM (Inh),cPPB % (Monash),CL Rat (Inh),Vss Rat (Inh),T1/2 Rat (Inh),Tmax Rat (Inh),Oral F Rat (Inh),Dofetilide (Inh),Cerep (Inh),Vivo NOD/SCID ED90,Vivo Parasit Cl,"Aldehyde Oxidase CLint,app (?L/min/mg)"
ek`RLL@JEKOHDI`@cZPNdLddLRbTTTrtNVrTTBl|RjzFVij`Y`@@jf@@@,FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(S(CC4=CC=CC=C4)(=O)=O)N32,C20H16F2N4O3S,OSM-S-361,MMV693163,"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/162345711"">162345711</a> ",162345711,Not in ChEMBL,Not in ChEMBL,EGT 39-1,4,"InChI=1S/C19H14F2N4O3S/c20-19(21)28-15-8-6-14(7-9-15)18-24-23-16-10-22-11-17(25(16)18)29(26,27)12-13-4-2-1-3-5-13/h1-11,19H,12H2",OCXPXTXAACVDON-UHFFFAOYSA-N,,,>10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fciC@CAcfZ`RAIC\adTTVVRTTRbaaRaYpIXyFnB@jijY`BHX@@,c1cc(c(cc1CCOc2cncc3n2c(nn3)c4ccc(c(c4)N)F)F)F,C19H14N5OF3,OSM-S-585,MMV1581334,"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/162345743"">162345743</a>",162345743,Not in ChEMBL,Not in ChEMBL,MK082-1,4,"InChI=1S/C19H14F3N5O/c20-13-3-1-11(7-15(13)22)5-6-28-18-10-24-9-17-25-26-19(27(17)18)12-2-4-14(21)16(23)8-12/h1-4,7-10H,5-6,23H2",VZPHEOZUAXBEIA-UHFFFAOYSA-N,,,,0.813,,,,0.813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ek`ZDL@JMCKB`f`IABPpdLbdLRVTRfbRvfbRDdl|RJvNj`@fjfjh@ARBj`@,OC(C1=CC=CC=C1)COC2=CN=CC3=NN=C(C4=CN=C(C(F)(F)F)C=C4)N32,C19H14F3N5O2,OSM-S-278,MMV688895,Not Found,Not Found,Not in ChEMBL,Not in ChEMBL,EGT 137-1,4,"InChI=1S/C19H14F3N5O2/c20-19(21,22)15-7-6-13(8-24-15)18-26-25-16-9-23-10-17(27(16)18)29-11-14(28)12-4-2-1-3-5-12/h1-10,14,28H,11H2/t14-/m0/s1",YUTTVQUFLHMVCQ-AWEZNQCLSA-N,,,,4.867,,,,4.867,,B,Moderate,,,,,50,,15,,,,,35,,117,,,,,0.58,0.72,,,,,2.5,25-50,50-100,,,38.1,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
figIB@ARUFpHaIe]enU}eZLT[t^c`@fjfj`@E@@@,c1ccc(cc1)CCOc2cncc3n2c(nn3)c4ccc(cc4)Cl,C19H15N4OCl,OSM-S-293,MMV663915,"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/127053493"">127053493</a>",127053493,"<a href=""https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL3832883"">CHEMBL3832883</a>",CHEMBL3832883,SSP-4; EGT 90-1; SSP 2019C2; SSP_2020_6d,4,"InChI=1S/C19H15ClN4O/c20-16-8-6-15(7-9-16)19-23-22-17-12-21-13-18(24(17)19)25-11-10-14-4-2-1-3-5-14/h1-9,12-13H,10-11H2",VURCFSOLNXCMTN-UHFFFAOYSA-N,,,0.0574,,,,,0.0574,,B,Yes,,,,,18,,5,,,,,94,,319,,,,,0.79,0.87,,,,,3.8,6.3-12.5,6.3-12.5,,,93.8,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
figIB@NBUFpHcHhheEeCDelhdfRT[t^c``Xjfj`@E@@@,c1ccc(cc1)CCOc2cncc3n2c(nn3)c4ccccc4Cl,C19H15N4OCl,OSM-S-291,MMV689968,"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/127053486"">127053486</a>",127053486,"<a href=""https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL3832886"">CHEMBL3832886</a>",CHEMBL3832886,,4,"InChI=1S/C19H15ClN4O/c20-16-9-5-4-8-15(16)19-23-22-17-12-21-13-18(24(17)19)25-11-10-14-6-2-1-3-7-14/h1-9,12-13H,10-11H2",KVOZVIJYWCGSOW-UHFFFAOYSA-N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fmoiA@CAcfZ`RAICHhhlldhheECBeF\BVNQk``JjZfX@`X@@,c1cc(cc(c1)N)c2nnc3n2c(cnc3)OCCc4ccc(c(c4)F)F,C19H15N5OF2,OSM-S-549,MMV1580434,"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/162345735"">162345735</a>",162345735,Not in ChEMBL,Not in ChEMBL,MK067-1,4,"InChI=1S/C19H15F2N5O/c20-15-5-4-12(8-16(15)21)6-7-27-18-11-23-10-17-24-25-19(26(17)18)13-2-1-3-14(22)9-13/h1-5,8-11H,6-7,22H2",CQZOPOXKTPBXOH-UHFFFAOYSA-N,,,,2.8,,,,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fmoiA@CAceZ`RAICHhhlldhheECBef\BVNQs``JjZfX@HX@@,c1cc(ccc1c2nnc3n2c(cnc3)OCCc4ccc(c(c4)F)F)N,C19H15N5OF2,OSM-S-526,MMV1579342,"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/162345731"">162345731</a>",162345731,Not in ChEMBL,Not in ChEMBL,MK041-1,4,"InChI=1S/C19H15F2N5O/c20-15-6-1-12(9-16(15)21)7-8-27-18-11-23-10-17-24-25-19(26(17)18)13-2-4-14(22)5-3-13/h1-6,9-11H,7-8,22H2",PGJZGRJIPPSPJV-UHFFFAOYSA-N,,,,13,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fmoiA@MFlDn@RBIAIme]enU~UEJwdefnj@BZjZh@AP@@,c1ccc(cc1)CNc2cncc3n2c(nn3)c4ccc(cc4)OC(F)F,C19H15N5OF2,OSM-S-638,MMV1634424,"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/162345747"">162345747</a>",162345747,Not in ChEMBL,Not in ChEMBL,DGS 94-1,4,"InChI=1S/C19H15F2N5O/c20-19(21)27-15-8-6-14(7-9-15)18-25-24-17-12-22-11-16(26(17)18)23-10-13-4-2-1-3-5-13/h1-9,11-12,19,23H,10H2",GWROJQFCRZTYNJ-UHFFFAOYSA-N,,,,>25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eghZLL@LMCKBhD@`@cZPndLddlRVTRfbRvTRTHdegbQRqrt@DuTuT@QB`@@,c1cc(ccc1c2nnc3n2c(cnc3)OCCc4ccc(c(c4)F)F)S(=O)(=O)N,C19H15N5O3F2S,OSM-S-506,MMV1577569,"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/162345727"">162345727</a>",162345727,Not in ChEMBL,Not in ChEMBL,MK029-1,4,"InChI=1S/C19H15F2N5O3S/c20-15-6-1-12(9-16(15)21)7-8-29-18-11-23-10-17-24-25-19(26(17)18)13-2-4-14(5-3-13)30(22,27)28/h1-6,9-11H,7-8H2,(H2,22,27,28)",LAEXWQNXYFZJGR-UHFFFAOYSA-N,,,,>10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fcha@MFlUn@`dDRBS[J{K\k{Jbe[rRkwU@AMUMUUTK@@@,c1cc(ccc1c2nnc3n2c(cnc3)OCCN4CCCCC4)OC(F)F,C19H21N5O2F2,OSM-S-499,MMV1577576,"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/162345726"">162345726</a>",162345726,Not in ChEMBL,Not in ChEMBL,EGT 283-1,4,"InChI=1S/C19H21F2N5O2/c20-19(21)28-15-6-4-14(5-7-15)18-24-23-16-12-22-13-17(26(16)18)27-11-10-25-8-2-1-3-9-25/h4-7,12-13,19H,1-3,8-11H2",VHKQNGVJPUDTLR-UHFFFAOYSA-N,,,,>10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ek`VHD@MKHdbce@I@bPrJJKKJYQQJJFEKIcbJiHjYZB@ijZfX@KF@@@,c1cc(ccc1C#N)c2nnc3n2c(cnc3)NC(=O)Cc4ccc(c(c4)F)F,C20H12N6OF2,OSM-W-006,N/A,"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/162345749"">162345749</a>",162345749,Not in ChEMBL,Not in ChEMBL,JH-5-2,4,"InChI=1S/C20H12F2N6O/c21-15-6-3-13(7-16(15)22)8-19(29)25-17-10-24-11-18-26-27-20(28(17)18)14-4-1-12(9-23)2-5-14/h1-7,10-11H,8H2,(H,25,29)",WXNSEGHVFXDZGF-UHFFFAOYSA-N,,,,,2.931,5.418,,4.174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eodRLB@KHdbiMM`I@bPndGiCHhhlmLeEDhhXTleFNHjdbiehHBZijY`@ja`@@,c1cc(ccc1c2nnc3n2c(cnc3)OCC(=O)c4ccc(c(c4)F)F)OC(F)F,C20H12N4O3F4,OSM-S-392,MMV1557932,"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/162345716"">162345716</a>",162345716,Not in ChEMBL,Not in ChEMBL,EGT 190-3,4,"InChI=1S/C20H12F4N4O3/c21-14-6-3-12(7-15(14)22)16(29)10-30-18-9-25-8-17-26-27-19(28(17)18)11-1-4-13(5-2-11)31-20(23)24/h1-9,20H,10H2",OPCIMEMUOABUMK-UHFFFAOYSA-N,,,,0.832,,,,0.832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eodRDJ@DJFAEF`HaZPNdKiAzPRYYUueUyU[mc`RRKH[ZZYjhHHBBbjP@@@,c1cc(ccc1c2nnc3n2c(cnc3Cl)OCCc4ccc(c(c4)F)F)OC(F)F,C20H13N4O2ClF4,OSM-X-007,MMV668823,"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/76311350"">76311350</a>",76311350,"<a href=""https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL3137570"">CHEMBL3137570</a>",CHEMBL3137570,,4,"InChI=1S/C20H13ClF4N4O2/c21-17-19-28-27-18(12-2-4-13(5-3-12)31-20(24)25)29(19)16(10-26-17)30-8-7-11-1-6-14(22)15(23)9-11/h1-6,9-10,20H,7-8H2",FOQQXRIKYKUBGB-UHFFFAOYSA-N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fciA@CAcgZ`RAICHhhlldhheECBeds`RqrN\DAUSTs@AXp@@,c1cc(ccc1C#N)c2nnc3n2c(cnc3)OCCc4ccc(c(c4)F)F,C20H13N5OF2,OSM-W-009,N/A,"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/162345750"">162345750</a>",162345750,Not in ChEMBL,Not in ChEMBL,KH-11-1,4,"InChI=1S/C20H13F2N5O/c21-16-6-3-13(9-17(16)22)7-8-28-19-12-24-11-18-25-26-20(27(18)19)15-4-1-14(10-23)2-5-15/h1-6,9,11-12H,7-8H2",QCWAKDMVWCGQRY-UHFFFAOYSA-N,,,,,0.294,0.264,,0.279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eodZDB@IKHdbmM`I@bPndGiCHhhlleMEDhhXTleFNHjdbiehHBiijY`@ja`@@,c1cc(ccc1c2nnc3n2c(cnc3)C(=O)NCc4ccc(c(c4)F)F)OC(F)F,C20H13N5O2F4,OSM-X-012,MMV669543,"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/76333082"">76333082</a>",76333082,"<a href=""https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL3137611"">CHEMBL3137611</a>",CHEMBL3137611,INHERITED,4,"InChI=1S/C20H13F4N5O2/c21-14-6-1-11(7-15(14)22)8-26-19(30)16-9-25-10-17-27-28-18(29(16)17)12-2-4-13(5-3-12)31-20(23)24/h1-7,9-10,20H,8H2,(H,26,30)",WYPSTIZOCCDRJV-UHFFFAOYSA-N,0.28,,,,,,,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eodRDJ@KHdbmM`I@bPddKiAzPrJJKKSIQQJJFEKIQcbJiHjYZB@jjZfX@JhX`DH@@,FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(OCC(F)C4=CC=C(F)C(F)=C4)N32,C20H13N4O2F5,OSM-X-003,MMV672936,"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/76314948"">76314948</a>",76314948,"<a href=""https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL3137561"">CHEMBL3137561</a>",CHEMBL3137561,INHERITED,4,"InChI=1S/C20H13F5N4O2/c21-14-6-3-12(7-15(14)22)16(23)10-30-18-9-26-8-17-27-28-19(29(17)18)11-1-4-13(5-2-11)31-20(24)25/h1-9,16,20H,10H2/t16-/m0/s1",LWSXCRQHVHDFGX-INIZCTEOSA-N,0.06536,,,,,,,0.06536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fmoqC@AFcXDPNPWHYEDeeEDhlmeDeCQfc^cv\@EMTuT@QB`@@,c1cc(ccc1c2cnc3n2c(cnc3)OCCc4ccc(c(c4)F)F)Cl,C20H14N3OClF2,OSM-S-273,MMV669846,"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/76314953"">76314953</a>",76314953,"<a href=""https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL3137615"">CHEMBL3137615</a>",CHEMBL3137615,INHERITED,4,"InChI=1S/C20H14ClF2N3O/c21-15-4-2-14(3-5-15)18-10-25-19-11-24-12-20(26(18)19)27-8-7-13-1-6-16(22)17(23)9-13/h1-6,9-12H,7-8H2",MQHQNFQVEXYAMO-UHFFFAOYSA-N,0.11,,,,,,,0.11,,,,,,,,,,,,,,,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fmoqC@ARcXDPNPWHYEDeeDihdmeDeCQbc^cv\@DuTuT@QB`@@,c1cc(ccc1c2ncc3n2c(cnc3)OCCc4ccc(c(c4)F)F)Cl,C20H14N3OClF2,OSM-S-274,MMV670250,"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/76311361"">76311361</a>",76311361,"<a href=""https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL3137622"">CHEMBL3137622</a>",CHEMBL3137622,INHERITED,4,"InChI=1S/C20H14ClF2N3O/c21-15-4-2-14(3-5-15)20-25-11-16-10-24-12-19(26(16)20)27-8-7-13-1-6-17(22)18(23)9-13/h1-6,9-12H,7-8H2",JHORUMGXLQTHAD-UHFFFAOYSA-N,0.83,,,,,,,0.83,,,,,,,,,4.3,,<3,,,,,200,,>500,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eghZDL@NC@hleE`H`zPndLbbbTNfbbTTLJVRc@`QTVPttADSSTs@AUC@@@,Cc1c(cccc1Cl)NC(=O)c2cncc3n2c(nn3)c4ccc(cc4)OC(F)F,C20H14N5O2ClF2,OSM-S-201,MMV675718,"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/162345707"">162345707</a>",162345707,Not in ChEMBL,Not in ChEMBL,TM 9-2,4,"InChI=1S/C20H14ClF2N5O2/c1-11-14(21)3-2-4-15(11)25-19(29)16-9-24-10-17-26-27-18(28(16)17)12-5-7-13(8-6-12)30-20(22)23/h2-10,20H,1H3,(H,25,29)",IVENWLQUYSRINV-UHFFFAOYSA-N,>5,>5,,4.191,,,>,4.191,0,B,No,,,5.138,5.12,15,,10,,,,,114,,166,,,,,0.82,0.78,,,,,3.1,12.5-25,12.5-25,,,85.8,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eghZDL@AC@hleE`H`zPndLbbRaRfbbTTLJVReC@QTVPtt@ESSTs@AUC@@@,c1cc(cc(c1)Cl)CNC(=O)c2cncc3n2c(nn3)c4ccc(cc4)OC(F)F,C20H14N5O2ClF2,OSM-S-176,MMV668958,"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/76311352"">76311352</a>",76311352,"<a href=""https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL3137575"">CHEMBL3137575</a>",CHEMBL3137575,INHERITED,4,"InChI=1S/C20H14ClF2N5O2/c21-14-3-1-2-12(8-14)9-25-19(29)16-10-24-11-17-26-27-18(28(16)17)13-4-6-15(7-5-13)30-20(22)23/h1-8,10-11,20H,9H2,(H,25,29)",YTUMNGGXAMTEHR-UHFFFAOYSA-N,0.25,,,,,,,0.25,,,,,,,,11,20,6,,,,,154,50,274,,,,,0.86,0.85,,,,2.9,2.9,12.5-25,12.5-25,54,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ekhRLD@C@hleNm`I@bPrJJKKIJJIQPpqIQc`HjKJXy[ZB@jijY``hFH@@,FC1=C(F)C=C(CCOC2=CN=CC(N23)=NN=C3C4=C5C(OCO5)=CC=C4)C=C1,C20H14F2N4O3,OSM-S-662,MMV1794874,Not Found,Not Found,Not in ChEMBL,Not in ChEMBL,MK167-1,4,"InChI=1S/C20H14F2N4O3/c21-14-5-4-12(8-15(14)22)6-7-27-18-10-23-9-17-24-25-20(26(17)18)13-2-1-3-16-19(13)29-11-28-16/h1-5,8-10H,6-7,11H2",GDVWTTMGYDZCGA-UHFFFAOYSA-N,,,,1.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ek`RLD@C@hleMc`I@bPrJJKKIJJIQPpiSQc`HjKHYZB@jijY`BFF@@@,c1cc(cc(c1)C(=O)O)c2nnc3n2c(cnc3)OCCc4ccc(c(c4)F)F,C20H14N4O3F2,OSM-S-552,MMV1580437,"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/162345737"">162345737</a>",162345737,Not in ChEMBL,Not in ChEMBL,"MK070-1, MK070-2",4,"InChI=1S/C20H14F2N4O3/c21-15-5-4-12(8-16(15)22)6-7-29-18-11-23-10-17-24-25-19(26(17)18)13-2-1-3-14(9-13)20(27)28/h1-5,8-11H,6-7H2,(H,27,28)",GYFXXYGBOJTVGJ-UHFFFAOYSA-N,,,,>25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ek`RLD@C@hleMc`I@bPrJJKKIJJIQPpiYQc`HjKHZZB@jijY`@fF@@@,c1cc(ccc1c2nnc3n2c(cnc3)OCCc4ccc(c(c4)F)F)C(=O)O,C20H14N4O3F2,OSM-S-551,MMV1580436,"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/162345736"">162345736</a>",162345736,Not in ChEMBL,Not in ChEMBL,MK069-1,4,"InChI=1S/C20H14F2N4O3/c21-15-6-1-12(9-16(15)22)7-8-29-18-11-23-10-17-24-25-19(26(17)18)13-2-4-14(5-3-13)20(27)28/h1-6,9-11H,7-8H2,(H,27,28)",UMTJNRMURJHRAT-UHFFFAOYSA-N,,,,>25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ek`RLD@MCKBl@f`IABPR[YWY[e_nUDdl|RJvNj`@fjfjX@AP@@,c1ccc(cc1)C(=O)COc2cncc3n2c(nn3)c4ccc(cc4)OC(F)F,C20H14N4O3F2,OSM-S-400,MMV1557940,"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/162345717"">162345717</a>",162345717,Not in ChEMBL,Not in ChEMBL,EGT 225-1,4,"InChI=1S/C20H14F2N4O3/c21-20(22)29-15-8-6-14(7-9-15)19-25-24-17-10-23-11-18(26(17)19)28-12-16(27)13-4-2-1-3-5-13/h1-11,20H,12H2",MQSMCJANEPVRGE-UHFFFAOYSA-N,,,,1.37,,,,1.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ekhVHD@C@hlime@I@bPrJJKKIJJIQPpiSIc`HjKHY[XzB@jijY`BJFD@@,c1cc(c(cc1CCOc2cncc3n2c(nn3)c4ccc5cn[nH]c5c4)F)F,C20H14N6OF2,OSM-S-546,MMV1580431,"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/162345733"">162345733</a>",162345733,Not in ChEMBL,Not in ChEMBL,MK063-1,4,"InChI=1S/C20H14F2N6O/c21-15-4-1-12(7-16(15)22)5-6-29-19-11-23-10-18-26-27-20(28(18)19)13-2-3-14-9-24-25-17(14)8-13/h1-4,7-11H,5-6H2,(H,24,25)",CGVAIQJJRYJQMC-UHFFFAOYSA-N,,,,0.434,,,,0.434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
