Structure of Structure [idcode],Structure,Molecular Formula,OSM ID,MMV ID,PubChem ID Links,PubChem ID,ChEMBL Molecule ID Links,ChEMBL Molecule ID,Internal ID,Series,InChI,InChI-Key,PfaI EC50 (Inh),Pfal IC50 (GSK),Pfal IC50 (Syngene),Pfal IC50 (Dundee),Pfal (3D7) IC50 (Broad),Pfal (Dd2) IC50 (Broad),PfaI EC50 uMol (Mean) Qualifier,PfaI EC50 uMol (Mean),Single Shot Inhibition %,PfATP4 'Test Set',Ion Regulation (ANU),Pb Liver Stage,Cytotox HepG2,Cytotox THP1,hERG pIC50,t1/2 HLM (Monash),t1/2 HLM (Inh),t1/2 MLM (Monash),t1/2 RLM (Inh),t1/2 RLM (Monash),t1/2 HCH (Monash),t1/2 RCH (Monash),CLint HLM (Monash),CLint HLM (Inh),CLint MLM (Monash),CLint RLM (Inh),CLint RLM (Monash),CLint HCH (Monash),CLint RCH (Monash),EH H M'some (Monash),EH M M'some (Monash),EH R M'some (Monash),EH H H'cyte (Monash),EH R H'cyte (Monash),LogD 3.0 (Monash),LogD 7.4 (Monash),Sol 2.0 ug/mL (Monash),Sol 6.5 ug/mL (Monash),Sol 6.8 uM (Inh),Sol 7.4 uM (Inh),cPPB % (Monash),CL Rat (Inh),Vss Rat (Inh),T1/2 Rat (Inh),Tmax Rat (Inh),Oral F Rat (Inh),Dofetilide (Inh),Cerep (Inh),Vivo NOD/SCID ED90,Vivo Parasit Cl,"Aldehyde Oxidase CLint,app (?L/min/mg)"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eodRBD@MCKBl@em`IABPrJYQIYQJZIKZJJIDRRsqHjyzj@BZjZj`X@T`jh@@,FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(OCC(C(O)=O)C4=CC=CC=C4)N32,C21H16N4O4F2,OSM-S-515,MMV1579336,"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/162345728"">162345728</a>",162345728,Not in ChEMBL,Not in ChEMBL,EGT 199-5,4,"InChI=1S/C21H16F2N4O4/c22-21(23)31-15-8-6-14(7-9-15)19-26-25-17-10-24-11-18(27(17)19)30-12-16(20(28)29)13-4-2-1-3-5-13/h1-11,16,21H,12H2,(H,28,29)/t16-/m1/s1",FICNFVPYGUTYFV-MRXNPFEDSA-N,,,,3.88,,,,3.88,,,,,,,<5,>255,,>255,,,,224,<7,,<7,,,,2,<0.22,<0.13,,,0.1,,1.3,6.3-12.5,25-50,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eodRDB@C@hleM`I@bPndGiCHhhlldhheECLeleFN@bhliehHBjfifB@ja`@@,Cc1c2nnc(n2c(cn1)OCCc3ccc(c(c3)F)F)c4ccc(cc4)OC(F)F,C21H16N4O2F4,OSM-X-063,MMV669541,"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/76311358"">76311358</a>",76311358,"<a href=""https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL3137609"">CHEMBL3137609</a>",CHEMBL3137609,INHERITED,4,"InChI=1S/C21H16F4N4O2/c1-12-19-27-28-20(14-3-5-15(6-4-14)31-21(24)25)29(19)18(11-26-12)30-9-8-13-2-7-16(22)17(23)10-13/h2-7,10-11,21H,8-9H2,1H3",ZOSZOZWECBRIDQ-UHFFFAOYSA-N,6.92,,,,,,,6.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e`\RLB@GDljiCC`I@bP^dOiCHhhlmIlhheECBedhqpdueTmmA@UUSTs@AUCD@a@@,FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(OCC(C)(O)C4=CC(F)=C(F)C=C4)N32,C21H16N4O3F4,OSM-X-004,MMV672723,"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/76322229"">76322229</a>",76322229,"<a href=""https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL3137556"">CHEMBL3137556</a>",CHEMBL3137556,INHERITED,4,"InChI=1S/C21H16F4N4O3/c1-21(30,13-4-7-15(22)16(23)8-13)11-31-18-10-26-9-17-27-28-19(29(17)18)12-2-5-14(6-3-12)32-20(24)25/h2-10,20,30H,11H2,1H3/t21-/m0/s1",NBSLUXDUMZFLCA-NRFANRHFSA-N,0.1012,,,,,,,0.1012,,,,,,,,47,,18,,,,,37,,94,,,,,0.59,0.67,,,,2.9,2.9,12.5-25,12.5-25,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e`\RLB@GDljmCC`I@bP^dOiCHhhlmDehheECBedhqpdueTmmA@UUSTs@AUCD@e@@,FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(OCC(CO)C4=CC(F)=C(F)C=C4)N32,C21H16N4O3F4,OSM-S-381,MMV670947,"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/76314954"">76314954</a>",76314954,"<a href=""https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL3137639"">CHEMBL3137639</a>",CHEMBL3137639,INHERITED,4,"InChI=1S/C21H16F4N4O3/c22-16-6-3-13(7-17(16)23)14(10-30)11-31-19-9-26-8-18-27-28-20(29(18)19)12-1-4-15(5-2-12)32-21(24)25/h1-9,14,21,30H,10-11H2/t14-/m0/s1",MKSKANAVVSFYNL-AWEZNQCLSA-N,0.02432,,,,,,,0.02432,,B,,,,,,,,,,,,,,8,,60,,,,,,,,,,,,,,,,,,,,,,,,,<1.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ehRRBB@OLbfiCKK`I@bP~d@YCHhhlmIdmEDhhXTleFNLnbfmchHBjjfif@BjFHAB@@,FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(OCC(CO)(O)C4=CC=C(F)C(F)=C4)N32,C21H16N4O4F4,OSM-S-560,MMV1581298,"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/162345739"">162345739</a>",162345739,Not in ChEMBL,Not in ChEMBL,DGS 77-1,4,"InChI=1S/C21H16F4N4O4/c22-15-6-3-13(7-16(15)23)21(31,10-30)11-32-18-9-26-8-17-27-28-19(29(17)18)12-1-4-14(5-2-12)33-20(24)25/h1-9,20,30-31H,10-11H2/t21-/m0/s1",GXKONCOXFIUYEL-NRFANRHFSA-N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eghZDD@MCKBjlL`IABPrJYQIYQJZIQGQSIBRV^IUGWUP@SUSMU@@JPMH@,C[C@@H](c1ccccc1)NC(=O)c2cncc3n2c(nn3)c4ccc(cc4)OC(F)F,C21H17N5O2F2,OSM-X-571,MMV669021,"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/76314950"">76314950</a> <a href=""https://pubchem.ncbi.nlm.nih.gov/compound/76318581"">76318581</a>",76314950 & 76318581,"<a href=""https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL3137590"">CHEMBL3137590</a>, <a href=""https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL3137593"">CHEMBL3137593</a>","CHEMBL3137590, CHEMBL3137593",,4,"InChI=1S/C21H17F2N5O2/c1-13(14-5-3-2-4-6-14)25-20(29)17-11-24-12-18-26-27-19(28(17)18)15-7-9-16(10-8-15)30-21(22)23/h2-13,21H,1H3,(H,25,29)/t13-/m0/s1",MLKRVCDSVIMHCB-ZDUSSCGKSA-N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eghZDD@MCKBjlL`IABPrJYQIYQJZIQGIQIBRV^IUGWUP@SUSMU@@J@@@,c1ccc(cc1)CCNC(=O)c2cncc3n2c(nn3)c4ccc(cc4)OC(F)F,C21H17N5O2F2,OSM-X-051,MMV669027,"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/76336713"">76336713</a>",76336713,"<a href=""https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL3137596"">CHEMBL3137596</a>",CHEMBL3137596,INHERITED,4,"InChI=1S/C21H17F2N5O2/c22-21(23)30-16-8-6-15(7-9-16)19-27-26-18-13-24-12-17(28(18)19)20(29)25-11-10-14-4-2-1-3-5-14/h1-9,12-13,21H,10-11H2,(H,25,29)",VPVKOTUNZQTQGJ-UHFFFAOYSA-N,3.17,,,,,,,3.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fcIA@CAcePI@dadTTVVRTTRbaaRrYpIXyGNB@jijY`@hX@@,CCc1ccc(cc1)c2nnc3n2c(cnc3)OCCc4ccc(c(c4)F)F,C21H18N4OF2,OSM-S-550,MMV1580435,"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/156024992"">156024992</a>",156024992,Not in ChEMBL,Not in ChEMBL,MK068-1,4,"InChI=1S/C21H18F2N4O/c1-2-14-3-6-16(7-4-14)21-26-25-19-12-24-13-20(27(19)21)28-10-9-15-5-8-17(22)18(23)11-15/h3-8,11-13H,2,9-10H2,1H3",GYRZMHSUHLZDJA-UHFFFAOYSA-N,,,,0.144,,,,0.144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fcIA@MFmg@IADadTrbRrbTtRQRbREJwdyWnj@BZijj@@T@@,c1ccc(cc1)CCCc2cncc3n2c(nn3)c4ccc(cc4)OC(F)F,C21H18N4OF2,OSM-X-011,MMV669304,"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/76311357"">76311357</a>",76311357,"<a href=""https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL3137602"">CHEMBL3137602</a>",CHEMBL3137602,INHERITED,4,"InChI=1S/C21H18F2N4O/c22-21(23)28-18-11-9-16(10-12-18)20-26-25-19-14-24-13-17(27(19)20)8-4-7-15-5-2-1-3-6-15/h1-3,5-6,9-14,21H,4,7-8H2",FVXHZUZPPRAVJU-UHFFFAOYSA-N,0.28,,,,,,,0.28,,A,Yes,,,,,2,,2,,,,,961,,847,,,,,0.97,0.95,,,,3.5,3.4,6.3-12.5,6.3-12.5,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ek`RDD@MCKBl@`IABPR[YWY[e_fuDdl|RJvNj`@fjfjh@ARBh`@,FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(OCC(C)C4=CC=CC=C4)N32,C21H18N4O2F2,OSM-S-607,MMV1634429,"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/162345744"">162345744</a>",162345744,Not in ChEMBL,Not in ChEMBL,MK148-1,4,"InChI=1S/C21H18F2N4O2/c1-14(15-5-3-2-4-6-15)13-28-19-12-24-11-18-25-26-20(27(18)19)16-7-9-17(10-8-16)29-21(22)23/h2-12,14,21H,13H2,1H3/t14-/m0/s1",YELIMUUXHYJNPF-AWEZNQCLSA-N,,,,0.627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ek`RDD@MCKBl@`IABPR[YWY[e_VUDdl|RJvNj`@fjfjh@AP@@,c1ccc(cc1)CCCOc2cncc3n2c(nn3)c4ccc(cc4)OC(F)F,C21H18N4O2F2,OSM-S-578,MMV1581344,"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/162345741"">162345741</a>",162345741,Not in ChEMBL,Not in ChEMBL,EGT 353-1,4,"InChI=1S/C21H18F2N4O2/c22-21(23)29-17-10-8-16(9-11-17)20-26-25-18-13-24-14-19(27(18)20)28-12-4-7-15-5-2-1-3-6-15/h1-3,5-6,8-11,13-14,21H,4,7,12H2",JNQZAPNWBVAOJV-UHFFFAOYSA-N,,,,1.32,,,,1.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eghRLD@MCKBl@c`IABPR[YWY[e_YWQIKODbemjh@Ijijh@JE@@@,COc1ccc(cc1)CCOc2cncc3n2c(nn3)c4ccc(cc4)OC(F)F,C21H18N4O3F2,OSM-S-384,MMV897712,"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/162345715"">162345715</a>",162345715,Not in ChEMBL,Not in ChEMBL,EGT 148-1,4,"InChI=1S/C21H18F2N4O3/c1-28-16-6-2-14(3-7-16)10-11-29-19-13-24-12-18-25-26-20(27(18)19)15-4-8-17(9-5-15)30-21(22)23/h2-9,12-13,21H,10-11H2,1H3",LPQFPIUFNNSFCQ-UHFFFAOYSA-N,,,,0.928,,,,0.928,,C,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eghRLD@MCKBl@m`IABPR[YWY[e_YVqIKODbecjh@Ijijh@bE@@@,COc1cccc(c1)CCOc2cncc3n2c(nn3)c4ccc(cc4)OC(F)F,C21H18N4O3F2,OSM-S-383,MMV897711,"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/129012035"">129012035</a>",129012035,Not in ChEMBL,Not in ChEMBL,EGT 147-1,4,"InChI=1S/C21H18F2N4O3/c1-28-17-4-2-3-14(11-17)9-10-29-19-13-24-12-18-25-26-20(27(18)19)15-5-7-16(8-6-15)30-21(22)23/h2-8,11-13,21H,9-10H2,1H3",QAMQLYPPZOESDX-UHFFFAOYSA-N,,,,0.135,,,,0.135,,C,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eghRLD@MCKBl@e`IABPR[YWY[e_fUqIKODbckjh@IjijjB@EHJb@@,FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(OCC(CO)C4=CC=CC=C4)N32,C21H18N4O3F2,OSM-S-353,MMV693155,"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/129012034"">129012034</a>",129012034,Not in ChEMBL,Not in ChEMBL,AEW 270-1; AEW 294-1; AEW 317-1; EGT 198-1,4,"InChI=1S/C21H18F2N4O3/c22-21(23)30-17-8-6-15(7-9-17)20-26-25-18-10-24-11-19(27(18)20)29-13-16(12-28)14-4-2-1-3-5-14/h1-11,16,21,28H,12-13H2/t16-/m0/s1",MGANJQKOPZQELF-INIZCTEOSA-N,,,0.073,0.134,,,,0.1035,,B,Yes,,,,4.68,35,,5,,,,29,49,,361,,,,13,0.66,0.89,,,0.47,,2.8,25-50,12.5-25,,,72,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eodRBD@MCKBl@fm`IABPR[YWY[e_ke\RRsqHjyzj@BZjZjhH@T`jh@@,FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(OCC(CO)(O)C4=CC=CC=C4)N32,C21H18N4O4F2,OSM-S-556,MMV1581295,"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/156024993"">156024993</a>",156024993,Not in ChEMBL,Not in ChEMBL,"DGS 63-5, DGS 81-1",4,"InChI=1S/C21H18F2N4O4/c22-20(23)31-16-8-6-14(7-9-16)19-26-25-17-10-24-11-18(27(17)19)30-13-21(29,12-28)15-4-2-1-3-5-15/h1-11,20,28-29H,12-13H2/t21-/m0/s1",LVBNVRWXODMMAV-NRFANRHFSA-N,,,,,,,,,,,,,,,,116,,41,,38,,,15,,42,,45,,,0.37,0.48,0.54,,,,2.3,25-50,50-100,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ek`ZHD@C@hlie@I@bPrJJKKIJJIQPpiSQc`HjKHYZB@jijY`BJF@@@,FC1=CC(CCOC2=CN=CC3=NN=C(C4=CC(N(C)C)=CC=C4)N32)=CC=C1F,C21H19F2N5O,OSM-S-545,MMV1580430,Not Found,Not Found,Not in ChEMBL,Not in ChEMBL,MK062-1,4,"InChI=1S/C21H19F2N5O/c1-27(2)16-5-3-4-15(11-16)21-26-25-19-12-24-13-20(28(19)21)29-9-8-14-6-7-17(22)18(23)10-14/h3-7,10-13H,8-9H2,1-2H3",CHKSIGXRRUITRE-UHFFFAOYSA-N,,,,7,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ek`ZHD@C@hlee@I@bPrJJKKIJJIQPpiYQc`HjKHZZB@jijY`@jF@@@,FC1=CC(CCOC2=CN=CC3=NN=C(C4=CC=C(N(C)C)C=C4)N32)=CC=C1F,C21H19F2N5O,OSM-S-531,MMV1579351,Not Found,Not Found,Not in ChEMBL,Not in ChEMBL,MK054-1,4,"InChI=1S/C21H19F2N5O/c1-27(2)16-6-4-15(5-7-16)21-26-25-19-12-24-13-20(28(19)21)29-10-9-14-3-8-17(22)18(23)11-14/h3-8,11-13H,9-10H2,1-2H3",DWKVYGNKXDMKJI-UHFFFAOYSA-N,,,,5.53,,,,5.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ehZRLB@OLbfcKK`I@bP~d@YCHhhlmHmeEDhhXTleFNECLnbfmchHBjjfif@BjI`@@,c1cc(ccc1c2nnc3n2c(cnc3)OCC4(COC4)c5ccc(c(c5)F)F)OC(F)F,C22H16N4O3F4,OSM-X-022,MMV670438,"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/76311362"">76311362</a>",76311362,"<a href=""https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL3137624"">CHEMBL3137624</a>",CHEMBL3137624,INHERITED,4,"InChI=1S/C22H16F4N4O3/c23-16-6-3-14(7-17(16)24)22(10-31-11-22)12-32-19-9-27-8-18-28-29-20(30(18)19)13-1-4-15(5-2-13)33-21(25)26/h1-9,21H,10-12H2",OJUVKHOEBUOJFA-UHFFFAOYSA-N,0.4833,,,,,,,0.4833,,,,,,,,53,,14,,,,,33,8,120,60,,,,0.56,0.72,,,,3,2.9,12.5-25,12.5-25,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
egdZHD@C@hlie@I@bPrJJKKIJJIQPpiSQL\AEQYCK[WPPEUMSL@QTLH@@,FC1=CC(CCOC2=CN=CC3=NN=C(C4=CC5=C(C=C4)C=CN5C)N32)=CC=C1F,C22H17F2N5O,OSM-S-582,MMV1581331,Not Found,Not Found,Not in ChEMBL,Not in ChEMBL,MK079-1,4,"InChI=1S/C22H17F2N5O/c1-28-8-6-15-3-4-16(11-19(15)28)22-27-26-20-12-25-13-21(29(20)22)30-9-7-14-2-5-17(23)18(24)10-14/h2-6,8,10-13H,7,9H2,1H3",YDNZCOWSOGIBPE-UHFFFAOYSA-N,,,,0.375,,,,0.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
egjRDD@MCKBl@`IABPR[YWY[e_ZYqIKODbaeimicmkckjh@IjijjjjEjh@@,c1cc(ccc1c2nnc3n2c(cnc3)OCCC45C6C7C4C8C7C6C58)OC(F)F,C22H18N4O2F2,OSM-S-371,MMV897700,"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/162345714"">162345714</a>",162345714,Not in ChEMBL,Not in ChEMBL,EGT 65-1,4,"InChI=1S/C22H18F2N4O2/c23-21(24)30-10-3-1-9(2-4-10)20-27-26-11-7-25-8-12(28(11)20)29-6-5-22-17-14-13-15(17)19(22)16(13)18(14)22/h1-4,7-8,13-19,21H,5-6H2",RXAWCKZPAXRRNE-UHFFFAOYSA-N,,,,0.372,,,,0.372,,C,Yes,,,,5.37,9,,3,,,,26,197,,573,,,,14,0.89,0.92,,,0.5,,4.3,1.6-3.1,<1.6,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ehRZDB@IOLbfkK`I@bP~d@YCHhhlmEDUEDhhXTleFNLnbfmchHBjjfif@BjFHAB@@,FC1=C(C=CC(C(COC2=CN=CC3=NN=C(N32)C4=CC=C(OC(F)F)C=C4)N(C)C)=C1)F,C22H19N5O2F4,OSM-S-389,MMV897763,"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/71819647"">71819647</a> <a href=""https://pubchem.ncbi.nlm.nih.gov/compound/129012036"">129012036</a>",71819647 & 129012036,"<a href=""https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL3137623"">CHEMBL3137623</a>",CHEMBL3137623,EGT 169-1,4,"InChI=1S/C22H19F4N5O2/c1-30(2)18(14-5-8-16(23)17(24)9-14)12-32-20-11-27-10-19-28-29-21(31(19)20)13-3-6-15(7-4-13)33-22(25)26/h3-11,18,22H,12H2,1-2H3/t18-/m0/s1",PMIWBIXSAYKRGF-SFHVURJKSA-N,,,,0.189,,,,0.189,,B,Yes,,,,,7,,4,,,,,264,,478,,,,,0.91,0.91,,,,,3.5,12.5-25,6.3-12.5,,,79.1,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e`\RBD@MCKBl@mc`IABPrJYQIYQJZIKZQQIHbRV^IEO_UP@SUSUUAP@h@@@,c1ccc(cc1)C(CO)(CO)COc2cncc3n2c(nn3)c4ccc(cc4)OC(F)F,C22H20N4O4F2,OSM-S-609,MMV1634435,"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/162345746"">162345746</a>",162345746,Not in ChEMBL,Not in ChEMBL,"MK150-1a, MK155-1",4,"InChI=1S/C22H20F2N4O4/c23-21(24)32-17-8-6-15(7-9-17)20-27-26-18-10-25-11-19(28(18)20)31-14-22(12-29,13-30)16-4-2-1-3-5-16/h1-11,21,29-30H,12-14H2",JCCXTGDCGIGQKA-UHFFFAOYSA-N,,,,6.132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e`\ZLD@MCKBgl@e`IABPR[YWY[e_fU}Ddl|RJNnj`@fjfjhHBaRBj@@,CNc1ccc(cc1)[C@@H](CO)COc2cncc3n2c(nn3)c4ccc(cc4)OC(F)F,C22H21N5O3F2,OSM-S-541,MMV1634427,"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/162345732"">162345732</a>",162345732,Not in ChEMBL,Not in ChEMBL,,4,"InChI=1S/C22H21F2N5O3/c1-25-17-6-2-14(3-7-17)16(12-30)13-31-20-11-26-10-19-27-28-21(29(19)20)15-4-8-18(9-5-15)32-22(23)24/h2-11,16,22,25,30H,12-13H2,1H3/t16-/m0/s1",YOPBTMOYZOBXTE-INIZCTEOSA-N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
elVZDB@IHjfakO`I@bPadDYCHhhlmEDdcEDhhXTleFNJifakghHBjjjZfX@JhX`DH@@,FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(OCC(N(CC)CC)C4=CC(F)=C(F)C=C4)N32,C24H23N5O2F4,OSM-S-430,MMV1576791,"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/162345722"">162345722</a>",162345722,Not in ChEMBL,Not in ChEMBL,EGT 181-3,4,"InChI=1S/C24H23F4N5O2/c1-3-32(4-2)20(16-7-10-18(25)19(26)11-16)14-34-22-13-29-12-21-30-31-23(33(21)22)15-5-8-17(9-6-15)35-24(27)28/h5-13,20,24H,3-4,14H2,1-2H3/t20-/m0/s1",FFKUJTSUMDVIQH-FQEVSTJZSA-N,,,,>10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,